iter	Passed	Remaining
0	146	146376
1	147	73449
2	147	49096
3	148	36941
4	148	29640
5	149	24763
6	150	21282
7	150	18670
8	151	16640
9	151	15015
10	152	13688
11	152	12579
12	153	11642
13	153	10839
14	154	10160
15	155	9555
16	156	9027
17	156	8558
18	157	8133
19	158	7751
20	158	7405
21	159	7087
22	159	6796
23	160	6531
24	161	6288
25	161	6062
26	162	5853
27	163	5660
28	163	5481
29	164	5313
30	164	5153
31	165	5004
32	165	4864
33	166	4731
34	167	4610
35	167	4495
36	168	4383
37	168	4277
38	169	4177
39	170	4082
40	170	3992
41	171	3905
42	171	3822
43	172	3744
44	172	3669
45	173	3599
46	174	3530
47	174	3464
48	175	3401
49	175	3340
50	176	3281
51	176	3226
52	177	3171
53	178	3119
54	178	3068
55	179	3020
56	179	2974
57	180	2929
58	180	2885
59	181	2843
60	182	2802
61	182	2763
62	183	2725
63	183	2688
64	184	2652
65	184	2617
66	185	2583
67	186	2552
68	186	2520
69	187	2488
70	187	2458
71	188	2428
72	189	2400
73	189	2372
74	190	2345
75	190	2319
76	191	2293
77	191	2268
78	192	2244
79	193	2220
80	193	2196
81	194	2173
82	194	2148
83	195	2127
84	195	2105
85	196	2084
86	196	2064
87	197	2044
88	197	2026
89	198	2008
90	199	1989
91	199	1971
92	200	1953
93	200	1935
94	201	1918
95	201	1901
96	202	1885
97	203	1869
98	203	1853
99	204	1838
100	204	1823
101	205	1808
102	206	1794
103	206	1779
104	207	1765
105	207	1751
106	208	1737
107	208	1724
108	209	1711
109	209	1698
110	210	1687
111	211	1676
112	212	1664
113	212	1652
114	213	1642
115	214	1631
116	214	1620
117	215	1609
118	216	1599
119	216	1589
120	217	1579
121	217	1568
122	218	1558
123	219	1549
124	219	1539
125	220	1529
126	221	1520
127	221	1511
128	222	1501
129	223	1493
130	223	1484
131	224	1476
132	225	1467
133	225	1458
134	226	1450
135	227	1442
136	227	1433
137	228	1425
138	228	1418
139	229	1410
140	230	1402
141	230	1393
142	231	1385
143	231	1377
144	232	1370
145	232	1362
146	233	1354
147	233	1347
148	234	1339
149	235	1332
150	235	1325
151	236	1318
152	236	1311
153	237	1304
154	238	1298
155	238	1292
156	239	1285
157	240	1279
158	240	1272
159	241	1266
160	241	1258
161	242	1253
162	242	1247
163	243	1241
164	244	1235
165	244	1229
166	245	1223
167	245	1217
168	246	1211
169	246	1205
170	247	1199
171	248	1194
172	248	1189
173	249	1183
174	249	1178
175	250	1172
176	251	1167
177	251	1161
178	252	1156
179	252	1151
180	253	1147
181	254	1142
182	254	1137
183	255	1132
184	255	1127
185	256	1122
186	257	1117
187	257	1112
188	258	1107
189	258	1102
190	259	1097
191	259	1093
192	260	1088
193	260	1084
194	261	1079
195	262	1075
196	262	1070
197	263	1066
198	263	1061
199	264	1056
200	264	1052
201	265	1048
202	265	1043
203	266	1039
204	267	1035
205	267	1031
206	268	1027
207	268	1023
208	269	1019
209	269	1015
210	270	1011
211	270	1007
212	271	1003
213	272	999
214	272	995
215	273	992
216	273	988
217	274	984
218	275	981
219	275	977
220	276	973
221	276	969
222	277	966
223	277	962
224	278	958
225	278	955
226	279	952
227	280	949
228	280	945
229	281	942
230	282	938
231	282	935
232	283	932
233	283	928
234	284	925
235	284	921
236	285	918
237	286	915
238	286	912
239	287	909
240	287	906
241	288	902
242	288	899
243	289	896
244	289	893
245	290	890
246	291	887
247	291	884
248	292	881
249	292	878
250	293	875
251	293	872
252	294	869
253	294	866
254	295	863
255	296	860
256	296	857
257	297	854
258	297	852
259	298	849
260	299	846
261	299	844
262	300	841
263	300	838
264	301	835
265	301	832
266	302	830
267	302	827
268	303	824
269	303	821
270	304	819
271	305	817
272	305	814
273	306	811
274	306	809
275	307	806
276	308	804
277	308	801
278	309	799
279	309	796
280	310	794
281	311	792
282	311	789
283	312	787
284	312	784
285	313	782
286	313	779
287	314	777
288	315	775
289	315	772
290	316	770
291	316	768
292	317	766
293	318	763
294	318	761
295	319	759
296	319	756
297	320	754
298	320	752
299	321	749
300	321	747
301	322	745
302	323	743
303	323	741
304	324	738
305	324	736
306	325	734
307	325	732
308	326	730
309	327	728
310	327	725
311	328	723
312	328	721
313	329	719
314	329	717
315	330	715
316	331	713
317	331	711
318	332	709
319	333	708
320	333	705
321	334	703
322	334	701
323	335	700
324	336	698
325	336	696
326	337	694
327	338	692
328	338	690
329	339	688
330	339	686
331	340	684
332	340	682
333	341	680
334	341	678
335	342	677
336	343	675
337	343	673
338	344	671
339	344	669
340	345	667
341	345	665
342	346	663
343	347	661
344	347	660
345	348	658
346	348	656
347	349	654
348	350	652
349	350	651
350	351	649
351	351	647
352	352	645
353	352	643
354	353	642
355	353	640
356	354	638
357	355	637
358	355	635
359	356	633
360	356	631
361	357	630
362	358	628
363	358	626
364	359	624
365	359	623
366	360	621
367	361	620
368	361	618
369	362	617
370	362	615
371	363	613
372	364	612
373	364	610
374	365	608
375	365	607
376	366	605
377	366	603
378	367	602
379	368	600
380	368	598
381	369	597
382	369	595
383	370	594
384	370	592
385	371	590
386	372	589
387	372	587
388	373	586
389	373	584
390	374	583
391	375	581
392	375	580
393	376	578
394	376	577
395	377	575
396	377	573
397	378	572
398	378	570
399	379	569
400	380	568
401	381	567
402	381	565
403	382	564
404	383	562
405	383	561
406	384	560
407	385	558
408	385	557
409	386	556
410	387	554
411	387	553
412	388	551
413	388	550
414	389	548
415	389	547
416	390	545
417	390	544
418	391	542
419	392	541
420	392	540
421	393	538
422	393	537
423	394	535
424	395	534
